Orario,Canale Ch 1,Canale Ch 11
(s),(V),(V)

0.42995702,0.15506720,1.22344300
0.43495652,0.15445670,1.21367500
0.43995602,0.15506720,1.20696000
0.44495552,0.15567770,1.20146500
0.44995502,0.15689870,1.19047600
0.45495452,0.15750920,1.16605600
0.45995402,0.15750920,1.13858400
0.46495352,0.15750920,1.10866900
0.46995302,0.15811970,1.08913300
0.47495252,0.15811970,1.05189300
0.47995202,0.15811970,1.00549500
0.48495152,0.15750920,0.95726500
0.48995102,0.15811970,0.93223450
0.49495052,0.15873020,0.89438340
0.49995002,0.15873020,0.85714290
0.50494952,0.15934070,0.80891340
0.50994902,0.15934070,0.78021980
0.51494852,0.15995120,0.74420030
0.51994802,0.15995120,0.70329670
0.52494752,0.15934070,0.63858370
0.52994702,0.15995120,0.58974360
0.53494653,0.15995120,0.55128200
0.53994603,0.15934070,0.51953600
0.54494553,0.15995120,0.47619050
0.54994503,0.16056170,0.43956040
0.55494453,0.16117220,0.40842490
0.55994403,0.16117220,0.37789990
0.56494353,0.16178270,0.34126990
0.56994303,0.16117220,0.31318680
0.57494253,0.16239320,0.29670330
0.57994203,0.16239320,0.28388280
0.58494153,0.16178270,0.27594630
0.58994103,0.16239320,0.27045180
0.59494053,0.16300370,0.26678880
0.59994003,0.16300370,0.27045180
0.60493953,0.16361420,0.27594630
0.60993903,0.16361420,0.28754580
0.61493853,0.16422470,0.29731380
0.61993803,0.16422470,0.31135530
0.62493753,0.16422470,0.33760680
0.62993703,0.16483520,0.36568990
0.63493653,0.16544570,0.38644690
0.63993603,0.16544570,0.40903540
0.64493553,0.16605620,0.45848600
0.64993503,0.16605620,0.51159950
0.65493453,0.16666670,0.55067160
0.65993403,0.16605620,0.57814410
0.66493353,0.16727720,0.61416360
0.66993303,0.16727720,0.66239320
0.67493253,0.16727720,0.70512830
0.67993203,0.16727720,0.73443230
0.68493153,0.16788770,0.77167280
0.68993103,0.16849820,0.81562880
0.69493053,0.16849820,0.84554340
0.69993003,0.16910870,0.86263740
0.70492953,0.16910870,0.89743590
0.70992903,0.16971920,0.93956050
0.71492853,0.16971920,0.99145310
0.71992803,0.17032970,1.01892600
0.72492753,0.17094020,1.05494500
0.72992703,0.17032970,1.09584900
0.73492653,0.17094020,1.13370000
0.73992603,0.17155070,1.15812000
0.74492553,0.17155070,1.17826600
0.74992504,0.17155070,1.19475000
0.75492454,0.17216120,1.20757000
0.75992404,0.17155070,1.21489600
0.76492354,0.17216120,1.22039100
0.76992304,0.17277170,1.22222200
0.77492254,0.17338220,1.21978000
0.77992204,0.17338220,1.21611700
0.78492154,0.17216120,1.21062300
0.78992104,0.17338220,1.19108700
0.79492054,0.17399270,1.16666700
0.79992004,0.17460320,1.14713100
0.80491954,0.17460320,1.12881600
0.80991904,0.17460320,1.09340700
0.81491854,0.17521370,1.06593400
0.81991804,0.17521370,1.02564100
0.82491754,0.17521370,1.00244200
0.82991704,0.17582420,0.95360200
0.83491654,0.17582420,0.89560440
0.83991604,0.17643470,0.84615390
0.84491554,0.17643470,0.82417580
0.84991504,0.17704520,0.77594630
0.85491454,0.17704520,0.74481080
0.85991404,0.17765570,0.70268630
0.86491354,0.17765570,0.67460320
0.86991304,0.17765570,0.63064720
0.87491254,0.17765570,0.58485960
0.87991204,0.17704520,0.53296700
0.88491154,0.17826620,0.51037850
0.88991104,0.17826620,0.47802200
0.89491054,0.17826620,0.44261290
0.89991004,0.17887670,0.40476190
0.90490954,0.17887670,0.38217340
0.90990904,0.17765570,0.35592190
0.91490854,0.17948720,0.32661780
0.91990804,0.17887670,0.30280830
0.92490754,0.18009770,0.28876680
0.92990704,0.18009770,0.27899880
0.93490654,0.18070820,0.27228330
0.93990604,0.18131870,0.27228330
0.94490554,0.18131870,0.27411480
0.94990504,0.18131870,0.27472530
0.95490454,0.18131870,0.28571430
0.95990404,0.18253970,0.30341880
0.96490355,0.18253970,0.31929180
0.96990305,0.18253970,0.32783880
0.97490255,0.18253970,0.35164840
0.97990205,0.18315020,0.39255190
0.98490155,0.18315020,0.43650790
0.98990105,0.18376070,0.45054950
0.99490055,0.18376070,0.47802200
0.99990005,0.18376070,0.51831500
1.00489955,0.18437120,0.57142860
1.00989905,0.18498170,0.60195360
1.01489855,0.18559220,0.63858370
1.01989805,0.18437120,0.68437120
1.02489755,0.18559220,0.73992680
1.02989705,0.18559220,0.77777780
1.03489655,0.18437120,0.77838830
1.03989605,0.18620270,0.85897440
1.04489555,0.18681320,0.89865690
1.04989505,0.18681320,0.90170940
1.05489455,0.18742370,0.92673990
1.05989405,0.18742370,0.97741150
1.06489355,0.18742370,1.03846200
1.06989305,0.18742370,1.07265000
1.07489255,0.18803420,1.07936500
1.07989205,0.18864470,1.10805900
1.08489155,0.18864470,1.13919400
1.08989105,0.18803420,1.15934100
1.09489055,0.18925520,1.17460300
1.09989005,0.18864470,1.18681300
1.10488955,0.18986570,1.19597100
1.10988905,0.19047620,1.20207600
1.11488855,0.19047620,1.20329700
1.11988805,0.19047620,1.20329700
1.12488755,0.19108670,1.20390700
1.12988705,0.19108670,1.20634900
1.13488655,0.19169720,1.19780200
1.13988605,0.19230770,1.17460300
1.14488555,0.19169720,1.15018300
1.14988505,0.19230770,1.13125800
1.15488455,0.19169720,1.11782700
1.15988405,0.19230770,1.09645900
1.16488355,0.19230770,1.06410300
1.16988305,0.19291820,1.01831500
1.17488255,0.19291820,0.97680100
1.17988206,0.19230770,0.94017100
1.18488156,0.19352870,0.89499390
1.18988106,0.19352870,0.85225890
1.19488056,0.19413920,0.82600740
1.19988006,0.19352870,0.79975580
1.20487956,0.19413920,0.73626380
1.20987906,0.19474970,0.69169720
1.21487856,0.19536020,0.64285720
1.21987806,0.19536020,0.61538460
1.22487756,0.19597070,0.55860810
1.22987706,0.19597070,0.51465200
1.23487656,0.19658120,0.46886450
1.23987606,0.19597070,0.45787550
1.24487556,0.19658120,0.41391940
1.24987506,0.19658120,0.37484740
1.25487456,0.19719170,0.33882780
1.25987406,0.19719170,0.32051280
1.26487356,0.19719170,0.30463980
1.26987306,0.19780220,0.28876680
1.27487256,0.19841270,0.27960930
1.27987206,0.19780220,0.27411480
1.28487156,0.19841270,0.27045180
1.28987106,0.19902320,0.26984130
1.29487056,0.19902320,0.27533580
1.29987006,0.19841270,0.27655680
1.30486956,0.19841270,0.28083030
1.30986906,0.19841270,0.29914530
1.31486856,0.20024420,0.33333330
1.31986806,0.20024420,0.34737490
1.32486756,0.20085470,0.37667890
1.32986706,0.20146520,0.40354090
1.33486656,0.20146520,0.45665450
1.33986606,0.20146520,0.50183150
1.34486556,0.20207570,0.53601960
1.34986506,0.20207570,0.57203910
1.35486456,0.20146520,0.62454210
1.35986406,0.20268620,0.66727720
1.36486356,0.20268620,0.70329670
1.36986306,0.20268620,0.75579980
1.37486256,0.20329670,0.80952380
1.37986206,0.20329670,0.83882780
1.38486156,0.20390720,0.86630040
1.38986106,0.20390720,0.90476190
1.39486057,0.20451770,0.95238100
1.39986007,0.20512820,0.99267410
1.40485957,0.20451770,1.01648400
1.40985907,0.20451770,1.05494500
1.41485857,0.20512820,1.09096500
1.41985807,0.20512820,1.12637400
1.42485757,0.20634920,1.15140400
1.42985707,0.20634920,1.17521400
1.43485657,0.20634920,1.19352900
1.43985607,0.20695970,1.20696000
1.44485557,0.20695970,1.21489600
1.44985507,0.20695970,1.21978000
1.45485457,0.20695970,1.22039100
1.45985407,0.20757020,1.21550700
1.46485357,0.20818070,1.21489600
1.46985307,0.20818070,1.20329700
1.47485257,0.20879120,1.18620300
1.47985207,0.20879120,1.16300400
1.48485157,0.20940170,1.15384600
1.48985107,0.20940170,1.12820500
1.49485057,0.20940170,1.09645900
1.49985007,0.21001220,1.05860800
1.50484957,0.21001220,1.03052500
1.50984907,0.21001220,0.99694750
1.51484857,0.21001220,0.94261300
1.51984807,0.21062270,0.88156290
1.52484757,0.20940170,0.84065940
1.52984707,0.21062270,0.81318680
1.53484657,0.21184370,0.77411480
1.53984607,0.21062270,0.71367530
1.54484557,0.21062270,0.67216120
1.54984507,0.21245420,0.64652020
1.55484457,0.21184370,0.60989010
1.55984407,0.21184370,0.55860810
1.56484357,0.21306470,0.51465200
1.56984307,0.21306470,0.48840050
1.57484257,0.21367520,0.45909650
1.57984207,0.21306470,0.41208790
1.58484157,0.21306470,0.37912090
1.58984107,0.21367520,0.34676440
1.59484057,0.21367520,0.32417580
1.59984007,0.21428570,0.30280830
1.60483958,0.21428570,0.28815630
1.60983908,0.21489620,0.27899880
1.61483858,0.21489620,0.27289380
1.61983808,0.21550670,0.26862030
1.62483758,0.21489620,0.27228330
1.62983708,0.21550670,0.27716730
1.63483658,0.21550670,0.28388280
1.63983608,0.21550670,0.30280830
1.64483558,0.21672770,0.32112330
1.64983508,0.21672770,0.34188040
1.65483458,0.21672770,0.34981690
1.65983408,0.21733820,0.38156290
1.66483358,0.21794870,0.40903540
1.66983308,0.21794870,0.44871800
1.67483258,0.21794870,0.48534800
1.67983208,0.21855920,0.52442000
1.68483158,0.21794870,0.55311360
1.68983108,0.21916970,0.60744810
1.69483058,0.21916970,0.65628820
1.69983008,0.21978020,0.70757030
1.70482958,0.21978020,0.74114780
1.70982908,0.22039070,0.80097680
1.71482858,0.22039070,0.83821740
1.71982808,0.22100120,0.87912090
1.72482758,0.22100120,0.90537240
1.72982708,0.22100120,0.94566550
1.73482658,0.22161170,0.97924300
1.73982608,0.22161170,1.01160000
1.74482558,0.22222220,1.03418800
1.74982508,0.22222220,1.07387100
1.75482458,0.22283270,1.10317500
1.75982408,0.22283270,1.12881600
1.76482358,0.22283270,1.15323600
1.76982308,0.22344320,1.17643500
1.77482258,0.22344320,1.19352900
1.77982208,0.22405370,1.20634900
1.78482158,0.22466420,1.21550700
1.78982108,0.22405370,1.21733800
1.79482058,0.22466420,1.21733800
1.79982008,0.22466420,1.21672800
1.80481958,0.22527470,1.20818100
1.80981908,0.22405370,1.18620300
1.81481858,0.22527470,1.16605600
1.81981809,0.22588520,1.15384600
1.82481759,0.22649570,1.13797300
1.82981709,0.22588520,1.11050100
1.83481659,0.22710620,1.08241800
1.83981609,0.22588520,1.06776600
1.84481559,0.22710620,1.04151400
1.84981509,0.22649570,0.99389510
1.85481459,0.22771670,0.93772900
1.85981409,0.22710620,0.90476190
1.86481359,0.22832720,0.86446890
1.86981309,0.22893770,0.81746040
1.87481259,0.22832720,0.76129430
1.87981209,0.22893770,0.72283270
1.88481159,0.22954820,0.68009770
1.88981109,0.22893770,0.63675220
1.89481059,0.22893770,0.57997560
1.89981009,0.23015870,0.54090360
1.90480959,0.22954820,0.50671550
1.90980909,0.23015870,0.47435900
1.91480859,0.23015870,0.43650790
1.91980809,0.23076920,0.40781440
1.92480759,0.23076920,0.38095240
1.92980709,0.23137970,0.35531140
1.93480659,0.23137970,0.32905980
1.93980609,0.23137970,0.31379730
1.94480559,0.23137970,0.29914530
1.94980509,0.23199020,0.28632480
1.95480459,0.23199020,0.27716730
1.95980409,0.23137970,0.27045180
1.96480359,0.23260070,0.26984130
1.96980309,0.23260070,0.27960930
1.97480259,0.23260070,0.29487180
1.97980209,0.23382170,0.30463980
1.98480159,0.23382170,0.32051280
1.98980109,0.23382170,0.33394380
1.99480059,0.23443230,0.36080590
1.99980009,0.23443230,0.38583640
2.00479959,0.23504280,0.40964590
2.00979909,0.23443230,0.43711840
2.01479859,0.23504280,0.48046400
2.01979809,0.23565330,0.50610500
2.02479759,0.23626380,0.53907200
2.02979709,0.23565330,0.57203910
2.03479660,0.23626380,0.62026860
2.03979610,0.23687430,0.67155070
2.04479560,0.23748480,0.71245430
2.04979510,0.23748480,0.75213680
2.05479460,0.23748480,0.81501840
2.05979410,0.23687430,0.86446890
2.06479360,0.23748480,0.90293040
2.06979310,0.23870580,0.92979250
2.07479260,0.23748480,0.97619050
2.07979210,0.23870580,1.02625200
2.08479160,0.23931630,1.06898700
2.08979110,0.23931630,1.08913300
2.09479060,0.23992680,1.11660600
2.09979010,0.23931630,1.14529900
2.10478960,0.24053730,1.16300400
2.10978910,0.23992680,1.17887700
2.11478860,0.24053730,1.19108700
2.11978810,0.24114780,1.20390700
2.12478760,0.24114780,1.21428600
2.12978710,0.24175830,1.21855900
2.13478660,0.24175830,1.21978000
2.13978610,0.24175830,1.21367500
2.14478560,0.24236880,1.20207600
2.14978510,0.24236880,1.19475000
2.15478460,0.24297930,1.17521400
2.15978410,0.24297930,1.14163600
2.16478360,0.24358980,1.11050100
2.16978310,0.24358980,1.08669100
2.17478260,0.24297930,1.05738700
2.17978210,0.24358980,1.02686200
2.18478160,0.24297930,0.99328450
2.18978110,0.24481080,0.96764350
2.19478060,0.24481080,0.93833950
2.19978010,0.24542130,0.88827840
2.20477960,0.24542130,0.84981690
2.20977910,0.24542130,0.82539680
2.21477860,0.24603180,0.78510380
2.21977810,0.24603180,0.72893770
2.22477760,0.24664230,0.67765570
2.22977710,0.24603180,0.63125770
2.23477660,0.24664230,0.59035410
2.23977610,0.24725280,0.53235660
2.24477560,0.24725280,0.48534800
2.24977511,0.24725280,0.45116000
2.25477461,0.24725280,0.42551890
2.25977411,0.24786330,0.38888890
2.26477361,0.24786330,0.35775340
2.26977311,0.24847380,0.33516480
2.27477261,0.24847380,0.32112330
2.27977211,0.24847380,0.30463980
2.28477161,0.24847380,0.28876680
2.28977111,0.24847380,0.27777780
2.29477061,0.24847380,0.27289380
2.29977011,0.24908430,0.27045180
2.30476961,0.25091580,0.27106230
2.30976911,0.25030530,0.27899880
2.31476861,0.25091580,0.28266180
2.31976811,0.25030530,0.29059830
2.32476761,0.24969480,0.30830280
2.32976711,0.25091580,0.34798540
2.33476661,0.25152630,0.37789990
2.33976611,0.25213680,0.39987790
2.34476561,0.25213680,0.42735040
2.34976511,0.25213680,0.48412700
2.35476461,0.25213680,0.51892550
2.35976411,0.25274730,0.54273500
2.36476361,0.25274730,0.56593410
2.36976311,0.25335780,0.60378510
2.37476261,0.25335780,0.63125770
2.37976211,0.25396830,0.66300370
2.38476161,0.25396830,0.71550670
2.38976111,0.25396830,0.77716730
2.39476061,0.25396830,0.81440780
2.39976011,0.25457880,0.82783880
2.40475961,0.25457880,0.86630040
2.40975911,0.25518930,0.93223450
2.41475861,0.25641030,0.98351650
2.41975811,0.25579980,1.01892600
2.42475761,0.25641030,1.05616600
2.42975711,0.25702080,1.10195400
